name,colour,band
Ocean Interlined Roman,Fiesta,B
Ocean Interlined Roman,Honey,B
Ocean Interlined Roman,Infinity,B
Ocean Interlined Roman,Natural,B
Ocean Interlined Roman,Pink,B
Ocean Interlined Roman,Sage,B
Oliver Interlined Roman,Dove Grey,D
Oliver Interlined Roman,Honey,D
Oliver Interlined Roman,Moss,D
Oliver Interlined Roman,Powder Blue,D
Oliver Interlined Roman,Rust,D
Orbit Interlined Roman,Chocolate,B
Orbit Interlined Roman,Chrome,B
Orbit Interlined Roman,Ivory,B
Orbit Interlined Roman,Jet,B
Orbit Interlined Roman,Midnight,B
Orbit Interlined Roman,Orchid,B
Orbit Interlined Roman,Purple,B
Orbit Interlined Roman,Taupe,B
Orbit Interlined Roman,Teal,B
Orlando Interlined Roman,Blush,C
Orlando Interlined Roman,Denim,C
Orlando Interlined Roman,Ember,C
Orlando Interlined Roman,Natural,C
Orlando Interlined Roman,Silver,C
Orlando Interlined Roman,Sky Blue,C
Orlando Interlined Roman,Teal,C
Orlando Interlined Roman,Thistle,C
Peggy Interlined Roman,Graphite,C
Peggy Interlined Roman,Iris,C
Peggy Interlined Roman,Olive,C
Phantom Interlined Roman,Aqua,D
Phantom Interlined Roman,Lotus,D
Phantom Interlined Roman,Moss,D
Phantom Interlined Roman,Navy,D
Phantom Interlined Roman,Tan,D
Picnic Interlined Roman,Iris,B
Picnic Interlined Roman,Linen,B
Picnic Interlined Roman,Meadow,B
Picnic Interlined Roman,Rouge,B
Picnic Interlined Roman,Sky Blue,B
Pinto Interlined Roman,Charcoal,B
Pinto Interlined Roman,Mustard,B
Pinto Interlined Roman,Navy,B
Pinto Interlined Roman,Olive,B
Pinto Interlined Roman,Rust,B
Pinto Mini Interlined Roman,Multi,B
Prism Interlined Roman,Chrome,C
Quinta Interlined Roman,Lagoon,D
Quinta Interlined Roman,Midnight,D
Quinta Interlined Roman,Natural,D
Rainbow Interlined Roman,Multi,B
Ramona Interlined Roman,Phantom,D
Ramona Interlined Roman,Rose Dust,D
Ramona Interlined Roman,Spice,D
Ramona Interlined Roman,Turquoise,D
Rapture Interlined Roman,Berry,C
Rapture Interlined Roman,Celedon,C
Rapture Interlined Roman,Mist,C
Ripple Interlined Roman,Shadow,D
Rosalee Interlined Roman,Apricot,B
Rosalee Interlined Roman,Merlot,B
Rosalee Interlined Roman,Monochrome,B
Rosalee Interlined Roman,Plum,B
Rosalee Interlined Roman,Seaglass,B
Rosalee Interlined Roman,Wedgwood,B
Roscoe Interlined Roman,Seaglass,B
Roxanne Interlined Roman,Chartreuse,D
Roxanne Interlined Roman,Grey,D
Roxanne Interlined Roman,Natural,D
Safari Friends Interlined Roman,Jungle,A
Sanibel Interlined Roman,Blush,C
Sanibel Interlined Roman,Breeze,C
Sanibel Interlined Roman,Fir,C
Sanibel Interlined Roman,Pumice,C
Sanibel Interlined Roman,Silver,C
Sanibel Interlined Roman,Slate,C
Sanibel Interlined Roman,Smoke,C
Skyler Interlined Roman,Breeze,C
Skyler Interlined Roman,Magenta,C
Skyler Interlined Roman,Plum,C
Skyler Interlined Roman,Shadow,C
Sleepy Sky Interlined Roman,Pastel,B
Speck Interlined Roman,Peacock,C
Speck Interlined Roman,Sienna,C
Speck Interlined Roman,White,C
Sprigs Interlined Roman,Lilac,B
Tampa Interlined Roman,Aqua,B
Tampa Interlined Roman,Golden,B
Tampa Interlined Roman,Jet,B
Tampa Interlined Roman,Natural,B
Tampa Interlined Roman,Purple,B
Toba Interlined Roman,Cloud,C
Toba Interlined Roman,Meadow,C
Toba Interlined Roman,Rose,C
Toba Interlined Roman,Rust,C
Torazza Interlined Roman,Dark Teal,C
Tree of Life Interlined Roman,Teal,C
Twisted Interlined Roman,Breeze,D
Twisted Interlined Roman,Taupe,D
Vegas Interlined Roman,Natural,C
Vegas Interlined Roman,Shadow,C
Verona Interlined Roman,Duck Egg,B
Verona Interlined Roman,Harvest,B
Verona Interlined Roman,Ivory,B
Verona Interlined Roman,Mink,B
Zest Interlined Roman,Brick,A
Zest Interlined Roman,Cornflower,A
Zest Interlined Roman,Elm,A
Zest Interlined Roman,Grape,A
Zest Interlined Roman,Hot Pink,A
