system,band,width_mm,drop_mm,price
Model 02 Single,STD,5000,1400,1946
Model 02 Dual,STD,5000,1400,2251
Model 02 Single,STD,6000,1400,2335
Model 02 Dual,STD,6000,1400,2701
Model 02 Single,STD,900,1600,400
Model 02 Dual,STD,900,1600,463
Model 02 Single,STD,1200,1600,534
Model 02 Dual,STD,1200,1600,617
Model 02 Single,STD,1500,1600,667
Model 02 Dual,STD,1500,1600,772
Model 02 Single,STD,1800,1600,801
Model 02 Dual,STD,1800,1600,926
Model 02 Single,STD,2100,1600,934
Model 02 Dual,STD,2100,1600,1081
Model 02 Single,STD,2400,1600,1067
Model 02 Dual,STD,2400,1600,1235
Model 02 Single,STD,2700,1600,1201
Model 02 Dual,STD,2700,1600,1389
Model 02 Single,STD,3100,1600,1379
Model 02 Dual,STD,3100,1600,1595
Model 02 Single,STD,4000,1600,1779
Model 02 Dual,STD,4000,1600,2058
Model 02 Single,STD,5000,1600,2224
Model 02 Dual,STD,5000,1600,2573
Model 02 Single,STD,6000,1600,2669
Model 02 Dual,STD,6000,1600,3087
Model 02 Single,STD,900,1800,450
Model 02 Dual,STD,900,1800,521
Model 02 Single,STD,1200,1800,600
Model 02 Dual,STD,1200,1800,695
Model 02 Single,STD,1500,1800,751
Model 02 Dual,STD,1500,1800,868
Model 02 Single,STD,1800,1800,901
Model 02 Dual,STD,1800,1800,1042
Model 02 Single,STD,2100,1800,1051
Model 02 Dual,STD,2100,1800,1216
Model 02 Single,STD,2400,1800,1201
Model 02 Dual,STD,2400,1800,1389
Model 02 Single,STD,2700,1800,1351
Model 02 Dual,STD,2700,1800,1563
Model 02 Single,STD,3100,1800,1551
Model 02 Dual,STD,3100,1800,1795
Model 02 Single,STD,4000,1800,2002
Model 02 Dual,STD,4000,1800,2316
Model 02 Single,STD,5000,1800,2502
Model 02 Dual,STD,5000,1800,2894
Model 02 Single,STD,6000,1800,3002
Model 02 Dual,STD,6000,1800,3473
Model 02 Single,STD,900,2000,500
Model 02 Dual,STD,900,2000,579
Model 02 Single,STD,1200,2000,667
Model 02 Dual,STD,1200,2000,772
Model 02 Single,STD,1500,2000,834
Model 02 Dual,STD,1500,2000,965
Model 02 Single,STD,1800,2000,1001
Model 02 Dual,STD,1800,2000,1158
Model 02 Single,STD,2100,2000,1168
Model 02 Dual,STD,2100,2000,1351
Model 02 Single,STD,2400,2000,1334
Model 02 Dual,STD,2400,2000,1544
Model 02 Single,STD,2700,2000,1501
Model 02 Dual,STD,2700,2000,1737
Model 02 Single,STD,3100,2000,1724
Model 02 Dual,STD,3100,2000,1994
Model 02 Single,STD,4000,2000,2224
Model 02 Dual,STD,4000,2000,2573
Model 02 Single,STD,5000,2000,2780
Model 02 Dual,STD,5000,2000,3216
Model 02 Single,STD,6000,2000,3336
Model 02 Dual,STD,6000,2000,3859
Model 02 Single,STD,900,2200,550
Model 02 Dual,STD,900,2200,637
Model 02 Single,STD,1200,2200,734
Model 02 Dual,STD,1200,2200,849
Model 02 Single,STD,1500,2200,917
Model 02 Dual,STD,1500,2200,1061
Model 02 Single,STD,1800,2200,1101
Model 02 Dual,STD,1800,2200,1274
Model 02 Single,STD,2100,2200,1284
Model 02 Dual,STD,2100,2200,1486
Model 02 Single,STD,2400,2200,1468
Model 02 Dual,STD,2400,2200,1698
Model 02 Single,STD,2700,2200,1651
Model 02 Dual,STD,2700,2200,1910
Model 02 Single,STD,3100,2200,1896
Model 02 Dual,STD,3100,2200,2193
Model 02 Single,STD,4000,2200,2446
Model 02 Dual,STD,4000,2200,2830
Model 02 Single,STD,5000,2200,3058
Model 02 Dual,STD,5000,2200,3538
Model 02 Single,STD,6000,2200,3669
Model 02 Dual,STD,6000,2200,4245
Model 02 Single,STD,900,2400,600
Model 02 Dual,STD,900,2400,695
Model 02 Single,STD,1200,2400,801
Model 02 Dual,STD,1200,2400,926
Model 02 Single,STD,1500,2400,1001
Model 02 Dual,STD,1500,2400,1158
Model 02 Single,STD,1800,2400,1201
Model 02 Dual,STD,1800,2400,1389
Model 02 Single,STD,2100,2400,1401
Model 02 Dual,STD,2100,2400,1621
Model 02 Single,STD,2400,2400,1601
Model 02 Dual,STD,2400,2400,1852
Model 02 Single,STD,2700,2400,1801
Model 02 Dual,STD,2700,2400,2084
Model 02 Single,STD,3100,2400,2068
Model 02 Dual,STD,3100,2400,2393
Model 02 Single,STD,4000,2400,2669
Model 02 Dual,STD,4000,2400,3087
Model 02 Single,STD,5000,2400,3336
Model 02 Dual,STD,5000,2400,3859
Model 02 Single,STD,6000,2400,4003
Model 02 Dual,STD,6000,2400,4631
Model 02 Single,STD,900,2600,650
Model 02 Dual,STD,900,2600,753
Model 02 Single,STD,1200,2600,867
Model 02 Dual,STD,1200,2600,1003
Model 02 Single,STD,1500,2600,1084
Model 02 Dual,STD,1500,2600,1254
Model 02 Single,STD,1800,2600,1301
Model 02 Dual,STD,1800,2600,1505
Model 02 Single,STD,2100,2600,1518
Model 02 Dual,STD,2100,2600,1756
Model 02 Single,STD,2400,2600,1735
Model 02 Dual,STD,2400,2600,2007
Model 02 Single,STD,2700,2600,1951
Model 02 Dual,STD,2700,2600,2258
Model 02 Single,STD,3100,2600,2241
Model 02 Dual,STD,3100,2600,2592
Model 02 Single,STD,4000,2600,2891
Model 02 Dual,STD,4000,2600,3345
Model 02 Single,STD,5000,2600,3614
Model 02 Dual,STD,5000,2600,4181
Model 02 Single,STD,6000,2600,4337
Model 02 Dual,STD,6000,2600,5017
Model 02 Single,STD,900,2800,701
Model 02 Dual,STD,900,2800,810
Model 02 Single,STD,1200,2800,934
Model 02 Dual,STD,1200,2800,1081
Model 02 Single,STD,1500,2800,1168
Model 02 Dual,STD,1500,2800,1351
Model 02 Single,STD,1800,2800,1401
Model 02 Dual,STD,1800,2800,1621
Model 02 Single,STD,2100,2800,1635
Model 02 Dual,STD,2100,2800,1891
Model 02 Single,STD,2400,2800,1868
Model 02 Dual,STD,2400,2800,2161
Model 02 Single,STD,2700,2800,2102
Model 02 Dual,STD,2700,2800,2431
Model 02 Single,STD,3100,2800,2413
Model 02 Dual,STD,3100,2800,2791
Model 02 Single,STD,4000,2800,3113
Model 02 Dual,STD,4000,2800,3602
Model 02 Single,STD,5000,2800,3892
Model 02 Dual,STD,5000,2800,4502
Model 02 Single,STD,6000,2800,4670
Model 02 Dual,STD,6000,2800,5403
Model 03 Single,STD,900,800,255
Model 03 Double Track,STD,900,800,295
Model 03 Single,STD,1200,800,255
Model 03 Double Track,STD,1200,800,295
Model 03 Single,STD,1500,800,306
Model 03 Double Track,STD,1500,800,354
Model 03 Single,STD,1800,800,367
Model 03 Double Track,STD,1800,800,425
Model 03 Single,STD,2100,800,428
Model 03 Double Track,STD,2100,800,495
Model 03 Single,STD,2400,800,489
Model 03 Double Track,STD,2400,800,566
Model 03 Single,STD,2700,800,551
Model 03 Double Track,STD,2700,800,637
Model 03 Single,STD,3100,800,632
Model 03 Double Track,STD,3100,800,731
Model 03 Single,STD,4000,800,816
Model 03 Double Track,STD,4000,800,943
Model 03 Single,STD,5000,800,1020
Model 03 Double Track,STD,5000,800,1179
Model 03 Single,STD,6000,800,1223
Model 03 Double Track,STD,6000,800,1415
Model 03 Single,STD,900,1000,255
Model 03 Double Track,STD,900,1000,265
Model 03 Single,STD,1200,1000,306
Model 03 Double Track,STD,1200,1000,354
Model 03 Single,STD,1500,1000,382
Model 03 Double Track,STD,1500,1000,442
Model 03 Single,STD,1800,1000,459
Model 03 Double Track,STD,1800,1000,531
Model 03 Single,STD,2100,1000,535
Model 03 Double Track,STD,2100,1000,619
Model 03 Single,STD,2400,1000,612
Model 03 Double Track,STD,2400,1000,708
Model 03 Single,STD,2700,1000,688
Model 03 Double Track,STD,2700,1000,796
Model 03 Single,STD,3100,1000,632
Model 03 Double Track,STD,3100,1000,914
Model 03 Single,STD,4000,1000,1020
Model 03 Double Track,STD,4000,1000,1179
Model 03 Single,STD,5000,1000,1274
Model 03 Double Track,STD,5000,1000,1474
Model 03 Single,STD,6000,1000,1529
Model 03 Double Track,STD,6000,1000,1769
Model 03 Single,STD,900,1200,275
Model 03 Double Track,STD,900,1200,318
Model 03 Single,STD,1200,1200,367
Model 03 Double Track,STD,1200,1200,425
Model 03 Single,STD,1500,1200,459
Model 03 Double Track,STD,1500,1200,531
Model 03 Single,STD,1800,1200,551
Model 03 Double Track,STD,1800,1200,637
Model 03 Single,STD,2100,1200,642
Model 03 Double Track,STD,2100,1200,743
Model 03 Single,STD,2400,1200,734
Model 03 Double Track,STD,2400,1200,849
Model 03 Single,STD,2700,1200,826
Model 03 Double Track,STD,2700,1200,955
Model 03 Single,STD,3100,1200,948
Model 03 Double Track,STD,3100,1200,1097
