name,colour,band,code
Boho Berry 2.0mt Roller,,B,RP6143
Boho Haze 2.0mt Roller,,B,RP6140
Boho Summer 2.0mt Roller,,B,RP6141
Boho Teal 2.0mt Roller,,B,RP6142
Calista Citrus 2.0mt Roller,,D,RP5427
Calista Lust 2.0MT Roller,,D,RP5426
Calista Radience 2.0MT Roller,,D,RP5429
Cleo Beige Wide 2.0mt Roller,,A,RP753
Cleo White Wide 2.0mt Roller,,A,RP752
Como Balance 2.0mt Roller,,B,RP5432
Como Bare 2.0mt Roller,,B,RP5430
Como Bliss 2mt roller,,B,RP5442
Como Curious 2mt roller,,B,RP5444
Como Deep 2mt roller,,B,RP5447
Como Drama 2.0mt Roller,,B,RP5438
Como Harbour 2.0mt Roller,,B,RP5435
Como Harmony 2.0mt Roller,,B,RP5437
Como Impact 2.0mt Roller,,B,RP5436
Como Kiss 2mt roller,,B,RP5446
Como Nomad 2.0mt Roller,,B,RP5434
Como Nurture 2mt roller,,B,RP5441
Como Rise 2mt roller,,B,RP5445
Como Sense 2.0mt Roller,,B,RP5433
Como Skies 2mt roller,,B,RP5443
Como Sorbet 2mt roller,,B,RP5440
Como Space 2.0mt Roller,,B,RP5439
Como Tranquil 2.0mt Roller,,B,RP5431
Devon Denim 2.0mt Roller,,B,RP5067
Devon Sand 2.0mt Roller,,B,RP4290
Devon Shadow 2.0mt Roller,,B,RP4292
Devon Whisper 2.0mt Roller,,B,RP5070
Dino Earth 2.0mt Roller,,D,RP6156
Diva Intimate 1.83mt Roller,,C,RP2266
Diva Obsession 1.83mt Roller,,C,RP2265
Diva Vanity 1.83mt Roller,,C,RP2267
Dollie Swirl 2.0mt Roller,,D,RP6155
Ducato Cholla 3.0 MT Roller,,D,RP5488
Ducato Fero 3.0 MT Roller,,D,RP5491
Ducato Moon 3.0 MT Roller,,D,RP5487
Ducato Night 3.0 MT Roller,,D,RP5490
Ducato Oxygen 3.0 MT Roller,,D,RP5489
Ella Alba 2.0MT Roller,,C,RP5485
Ella Aspin 2.0MT Roller,,C,RP5486
Ella Blockout Alba 2.0MT Roller,,D,RP2519
Ella Blockout Aspin 2.0MT Roller,,D,RP2520
Ella Blockout Este 2.0MT Roller,,D,RP2517
Ella Blockout Tilia 2.0MT Roller,,D,RP2518
Ella Este 2.0MT Roller,,C,RP5483
Ella Tilia 2.0MT Roller,,C,RP5484
Ennis Angora 2.0mt Roller,,C,RP6049
Ennis Arran 2.0mt Roller,,C,RP6047
Ennis Cashmere 2.0mt Roller,,C,RP6048
Ennis Duck Egg 2.0MT Roller,,C,RP5318
Ennis Lauden 2.0mt Roller,,C,RP6050
Ennis Melton 2.0MT Roller,,C,RP5391
Estella Celeste 2.0mt Roller,,C,RP6026
Fiesta Cream 2mt Roller,,A,RP1223
Fiesta Mist 2mt roller,,A,RP6113
Fiesta White 2mt Roller,,A,RP1222
Flock Melody 2.0MT Roller,,C,RP5470
Focal Shadow 3.0mt Roller,,D,RP5944
Glimpse Blush 3.0mt Roller,,C,RP5997
Glimpse Brulee 3.0mt Roller,,C,RP5999
