system,band,width_mm,drop_mm,price
15mm,STD,2410,2110,244.0
15mm,STD,2560,2110,260.0
15mm,STD,2710,2110,270.0
15mm,STD,460,2260,81.0
15mm,STD,610,2260,94.0
15mm,STD,760,2260,107.0
15mm,STD,910,2260,120.0
15mm,STD,1060,2260,135.0
15mm,STD,1210,2260,147.0
15mm,STD,1360,2260,157.0
15mm,STD,1510,2260,172.0
15mm,STD,1660,2260,186.0
15mm,STD,1810,2260,197.0
15mm,STD,1960,2260,215.0
15mm,STD,2110,2260,229.0
15mm,STD,2260,2260,241.0
15mm,STD,2410,2260,255.0
15mm,STD,2560,2260,269.0
15mm,STD,460,2410,85.0
15mm,STD,610,2410,97.0
15mm,STD,760,2410,110.0
15mm,STD,910,2410,123.0
15mm,STD,1060,2410,138.0
15mm,STD,1210,2410,155.0
15mm,STD,1360,2410,166.0
15mm,STD,1510,2410,183.0
15mm,STD,1660,2410,195.0
15mm,STD,1810,2410,211.0
15mm,STD,1960,2410,225.0
15mm,STD,2110,2410,241.0
15mm,STD,2260,2410,252.0
15mm,STD,2410,2410,265.0
15mm,STD,460,2560,85.0
15mm,STD,610,2560,97.0
15mm,STD,760,2560,114.0
15mm,STD,910,2560,125.0
15mm,STD,1060,2560,143.0
15mm,STD,1210,2560,156.0
15mm,STD,1360,2560,171.0
15mm,STD,1510,2560,185.0
15mm,STD,1660,2560,197.0
15mm,STD,1810,2560,215.0
15mm,STD,1960,2560,232.0
15mm,STD,2110,2560,244.0
15mm,STD,2260,2560,260.0
15mm,STD,460,2710,85.0
15mm,STD,610,2710,97.0
15mm,STD,760,2710,114.0
15mm,STD,910,2710,125.0
15mm,STD,1060,2710,143.0
15mm,STD,1210,2710,156.0
15mm,STD,1360,2710,171.0
15mm,STD,1510,2710,185.0
15mm,STD,1660,2710,197.0
15mm,STD,1810,2710,215.0
15mm,STD,1960,2710,229.0
15mm,STD,2110,2710,244.0
15mm,STD,460,2860,85.0
15mm,STD,610,2860,100.0
15mm,STD,760,2860,116.0
15mm,STD,910,2860,128.0
15mm,STD,1060,2860,147.0
15mm,STD,1210,2860,161.0
15mm,STD,1360,2860,175.0
15mm,STD,1510,2860,193.0
15mm,STD,1660,2860,206.0
15mm,STD,1810,2860,221.0
15mm,STD,1960,2860,241.0
15mm,STD,460,3010,86.0
15mm,STD,610,3010,105.0
15mm,STD,760,3010,119.0
15mm,STD,910,3010,136.0
15mm,STD,1060,3010,155.0
15mm,STD,1210,3010,166.0
15mm,STD,1360,3010,185.0
15mm,STD,1510,3010,197.0
15mm,STD,1660,3010,217.0
15mm,STD,1810,3010,233.0
15mm,STD,1960,3010,246.0
15mm,SE,460,610,47.0
15mm,SE,610,610,50.0
15mm,SE,760,610,61.0
15mm,SE,910,610,63.0
15mm,SE,1060,610,66.0
15mm,SE,1210,610,70.0
15mm,SE,1360,610,76.0
15mm,SE,1510,610,81.0
15mm,SE,1660,610,86.0
15mm,SE,1810,610,94.0
15mm,SE,1960,610,96.0
15mm,SE,2110,610,100.0
15mm,SE,2260,610,107.0
15mm,SE,2410,610,110.0
15mm,SE,2560,610,116.0
15mm,SE,2710,610,120.0
15mm,SE,2860,610,126.0
15mm,SE,3010,610,136.0
15mm,SE,460,760,52.0
15mm,SE,610,760,61.0
15mm,SE,760,760,62.0
15mm,SE,910,760,66.0
15mm,SE,1060,760,70.0
15mm,SE,1210,760,76.0
15mm,SE,1360,760,85.0
15mm,SE,1510,760,88.0
15mm,SE,1660,760,96.0
15mm,SE,1810,760,100.0
15mm,SE,1960,760,107.0
15mm,SE,2110,760,114.0
15mm,SE,2260,760,119.0
15mm,SE,2410,760,123.0
15mm,SE,2560,760,128.0
15mm,SE,2710,760,136.0
15mm,SE,2860,760,141.0
15mm,SE,3010,760,146.0
15mm,SE,460,910,56.0
15mm,SE,610,910,62.0
15mm,SE,760,910,66.0
15mm,SE,910,910,70.0
15mm,SE,1060,910,76.0
15mm,SE,1210,910,86.0
15mm,SE,1360,910,94.0
15mm,SE,1510,910,97.0
15mm,SE,1660,910,105.0
15mm,SE,1810,910,114.0
15mm,SE,1960,910,119.0
15mm,SE,2110,910,123.0
15mm,SE,2260,910,128.0
15mm,SE,2410,910,136.0
15mm,SE,2560,910,146.0
15mm,SE,2710,910,149.0
15mm,SE,2860,910,155.0
15mm,SE,3010,910,157.0
15mm,SE,460,1060,56.0
15mm,SE,610,1060,63.0
15mm,SE,760,1060,69.0
15mm,SE,910,1060,76.0
15mm,SE,1060,1060,85.0
15mm,SE,1210,1060,94.0
15mm,SE,1360,1060,97.0
15mm,SE,1510,1060,107.0
15mm,SE,1660,1060,114.0
15mm,SE,1810,1060,120.0
15mm,SE,1960,1060,125.0
15mm,SE,2110,1060,136.0
15mm,SE,2260,1060,143.0
15mm,SE,2410,1060,149.0
15mm,SE,2560,1060,156.0
15mm,SE,2710,1060,165.0
15mm,SE,2860,1060,175.0
15mm,SE,3010,1060,185.0
15mm,SE,460,1210,61.0
15mm,SE,610,1210,66.0
15mm,SE,760,1210,75.0
15mm,SE,910,1210,85.0
15mm,SE,1060,1210,88.0
15mm,SE,1210,1210,97.0
15mm,SE,1360,1210,107.0
15mm,SE,1510,1210,116.0
15mm,SE,1660,1210,123.0
15mm,SE,1810,1210,128.0
15mm,SE,1960,1210,138.0
15mm,SE,2110,1210,147.0
15mm,SE,2260,1210,156.0
15mm,SE,2410,1210,161.0
15mm,SE,2560,1210,171.0
15mm,SE,2710,1210,181.0
15mm,SE,2860,1210,187.0
15mm,SE,3010,1210,197.0
15mm,SE,460,1360,66.0
15mm,SE,610,1360,75.0
15mm,SE,760,1360,85.0
15mm,SE,910,1360,96.0
15mm,SE,1060,1360,105.0
15mm,SE,1210,1360,114.0
15mm,SE,1360,1360,120.0
15mm,SE,1510,1360,135.0
15mm,SE,1660,1360,143.0
15mm,SE,1810,1360,149.0
15mm,SE,1960,1360,157.0
15mm,SE,2110,1360,171.0
15mm,SE,2260,1360,181.0
15mm,SE,2410,1360,186.0
15mm,SE,2560,1360,195.0
15mm,SE,2710,1360,206.0
15mm,SE,2860,1360,220.0
15mm,SE,3010,1360,232.0
15mm,SE,460,1510,69.0
15mm,SE,610,1510,76.0
15mm,SE,760,1510,88.0
15mm,SE,910,1510,96.0
15mm,SE,1060,1510,107.0
15mm,SE,1210,1510,116.0
15mm,SE,1360,1510,125.0
15mm,SE,1510,1510,138.0
15mm,SE,1660,1510,146.0
15mm,SE,1810,1510,156.0
15mm,SE,1960,1510,166.0
15mm,SE,2110,1510,175.0
15mm,SE,2260,1510,186.0
15mm,SE,2410,1510,195.0
15mm,SE,2560,1510,205.0
15mm,SE,2710,1510,217.0
15mm,SE,2860,1510,229.0
15mm,SE,3010,1510,241.0
15mm,SE,460,1660,75.0
15mm,SE,610,1660,88.0
15mm,SE,760,1660,100.0
15mm,SE,910,1660,114.0
15mm,SE,1060,1660,123.0
15mm,SE,1210,1660,136.0
15mm,SE,1360,1660,147.0
15mm,SE,1510,1660,157.0
15mm,SE,1660,1660,171.0
15mm,SE,1810,1660,183.0
15mm,SE,1960,1660,193.0
15mm,SE,2110,1660,205.0
15mm,SE,2260,1660,220.0
15mm,SE,2410,1660,232.0
15mm,SE,2560,1660,242.0
15mm,SE,2710,1660,255.0
15mm,SE,2860,1660,265.0
15mm,SE,3010,1660,278.0
15mm,SE,460,1810,75.0
15mm,SE,610,1810,88.0
15mm,SE,760,1810,100.0
15mm,SE,910,1810,114.0
15mm,SE,1060,1810,123.0
15mm,SE,1210,1810,138.0
15mm,SE,1360,1810,149.0
15mm,SE,1510,1810,161.0
15mm,SE,1660,1810,172.0
15mm,SE,1810,1810,185.0
15mm,SE,1960,1810,197.0
15mm,SE,2110,1810,211.0
15mm,SE,2260,1810,221.0
15mm,SE,2410,1810,233.0
15mm,SE,2560,1810,246.0
15mm,SE,2710,1810,260.0
15mm,SE,2860,1810,270.0
15mm,SE,3010,1810,282.0
15mm,SE,460,1960,76.0
15mm,SE,610,1960,94.0
15mm,SE,760,1960,105.0
15mm,SE,910,1960,119.0
15mm,SE,1060,1960,135.0
15mm,SE,1210,1960,146.0
15mm,SE,1360,1960,157.0
15mm,SE,1510,1960,171.0
15mm,SE,1660,1960,185.0
15mm,SE,1810,1960,195.0
15mm,SE,1960,1960,211.0
15mm,SE,2110,1960,221.0
15mm,SE,2260,1960,235.0
15mm,SE,2410,1960,246.0
15mm,SE,2560,1960,263.0
15mm,SE,2710,1960,275.0
15mm,SE,2860,1960,287.0
15mm,SE,3010,1960,300.0
15mm,SE,460,2110,81.0
15mm,SE,610,2110,96.0
15mm,SE,760,2110,110.0
15mm,SE,910,2110,123.0
15mm,SE,1060,2110,138.0
15mm,SE,1210,2110,155.0
15mm,SE,1360,2110,165.0
15mm,SE,1510,2110,181.0
15mm,SE,1660,2110,193.0
15mm,SE,1810,2110,206.0
15mm,SE,1960,2110,221.0
15mm,SE,2110,2110,235.0
15mm,SE,2260,2110,246.0
15mm,SE,2410,2110,263.0
15mm,SE,2560,2110,278.0
15mm,SE,2710,2110,290.0
15mm,SE,460,2260,85.0
15mm,SE,610,2260,97.0
15mm,SE,760,2260,114.0
15mm,SE,910,2260,125.0
15mm,SE,1060,2260,143.0
15mm,SE,1210,2260,156.0
15mm,SE,1360,2260,171.0
15mm,SE,1510,2260,185.0
15mm,SE,1660,2260,197.0
15mm,SE,1810,2260,215.0
15mm,SE,1960,2260,229.0
15mm,SE,2110,2260,242.0
15mm,SE,2260,2260,257.0
15mm,SE,2410,2260,270.0
15mm,SE,2560,2260,285.0
15mm,SE,460,2410,86.0
15mm,SE,610,2410,100.0
15mm,SE,760,2410,119.0
15mm,SE,910,2410,132.0
15mm,SE,1060,2410,147.0
15mm,SE,1210,2410,161.0
15mm,SE,1360,2410,181.0
15mm,SE,1510,2410,193.0
15mm,SE,1660,2410,206.0
15mm,SE,1810,2410,225.0
15mm,SE,1960,2410,241.0
15mm,SE,2110,2410,255.0
15mm,SE,2260,2410,270.0
15mm,SE,2410,2410,285.0
15mm,SE,460,2560,86.0
15mm,SE,610,2560,102.0
15mm,SE,760,2560,119.0
15mm,SE,910,2560,135.0
15mm,SE,1060,2560,149.0
15mm,SE,1210,2560,166.0
15mm,SE,1360,2560,183.0
15mm,SE,1510,2560,197.0
15mm,SE,1660,2560,215.0
15mm,SE,1810,2560,232.0
15mm,SE,1960,2560,244.0
15mm,SE,2110,2560,263.0
15mm,SE,2260,2560,278.0
15mm,SE,460,2710,86.0
15mm,SE,610,2710,105.0
15mm,SE,760,2710,119.0
15mm,SE,910,2710,136.0
15mm,SE,1060,2710,149.0
15mm,SE,1210,2710,171.0
15mm,SE,1360,2710,183.0
15mm,SE,1510,2710,197.0
15mm,SE,1660,2710,215.0
15mm,SE,1810,2710,232.0
15mm,SE,1960,2710,244.0
15mm,SE,2110,2710,263.0
15mm,SE,460,2860,88.0
15mm,SE,610,2860,107.0
15mm,SE,760,2860,120.0
15mm,SE,910,2860,138.0
15mm,SE,1060,2860,156.0
15mm,SE,1210,2860,172.0
15mm,SE,1360,2860,190.0
15mm,SE,1510,2860,205.0
15mm,SE,1660,2860,221.0
15mm,SE,1810,2860,241.0
15mm,SE,1960,2860,257.0
15mm,SE,460,3000,94.0
15mm,SE,610,3000,110.0
15mm,SE,760,3000,125.0
15mm,SE,910,3000,146.0
15mm,SE,1060,3000,161.0
15mm,SE,1210,3000,181.0
15mm,SE,1360,3000,195.0
15mm,SE,1510,3000,215.0
15mm,SE,1660,3000,232.0
15mm,SE,1810,3000,246.0
15mm,SE,1960,3000,269.0
25mm,STD,460,610,39.0
25mm,STD,610,610,43.0
25mm,STD,760,610,49.0
25mm,STD,910,610,50.0
25mm,STD,1060,610,56.0
25mm,STD,1210,610,62.0
25mm,STD,1360,610,63.0
25mm,STD,1510,610,67.0
25mm,STD,1660,610,69.0
25mm,STD,1810,610,70.0
25mm,STD,1960,610,79.0
25mm,STD,2110,610,81.0
25mm,STD,2260,610,85.0
25mm,STD,2410,610,88.0
25mm,STD,2560,610,94.0
25mm,STD,2710,610,96.0
25mm,STD,2860,610,100.0
25mm,STD,3010,610,104.0
25mm,STD,3160,610,105.0
25mm,STD,3310,610,114.0
25mm,STD,3460,610,116.0
25mm,STD,3610,610,117.0
25mm,STD,3760,610,120.0
25mm,STD,4000,610,126.0
25mm,STD,460,760,43.0
25mm,STD,610,760,45.0
25mm,STD,760,760,50.0
25mm,STD,910,760,56.0
25mm,STD,1060,760,62.0
25mm,STD,1210,760,66.0
25mm,STD,1360,760,67.0
25mm,STD,1510,760,70.0
25mm,STD,1660,760,76.0
25mm,STD,1810,760,81.0
25mm,STD,1960,760,85.0
25mm,STD,2110,760,88.0
25mm,STD,2260,760,94.0
25mm,STD,2410,760,97.0
25mm,STD,2560,760,104.0
25mm,STD,2710,760,105.0
25mm,STD,2860,760,114.0
25mm,STD,3010,760,116.0
25mm,STD,3160,760,119.0
25mm,STD,3310,760,120.0
25mm,STD,3460,760,126.0
25mm,STD,3610,760,128.0
25mm,STD,3760,760,136.0
25mm,STD,4000,760,146.0
25mm,STD,460,910,45.0
25mm,STD,610,910,49.0
25mm,STD,760,910,55.0
25mm,STD,910,910,62.0
25mm,STD,1060,910,66.0
25mm,STD,1210,910,67.0
25mm,STD,1360,910,70.0
25mm,STD,1510,910,79.0
25mm,STD,1660,910,85.0
25mm,STD,1810,910,86.0
25mm,STD,1960,910,94.0
25mm,STD,2110,910,97.0
25mm,STD,2260,910,104.0
25mm,STD,2410,910,105.0
25mm,STD,2560,910,114.0
25mm,STD,2710,910,117.0
25mm,STD,2860,910,120.0
25mm,STD,3010,910,123.0
25mm,STD,3160,910,128.0
25mm,STD,3310,910,136.0
25mm,STD,3460,910,141.0
25mm,STD,3610,910,146.0
25mm,STD,3760,910,149.0
25mm,STD,4000,910,156.0
25mm,STD,460,1060,45.0
25mm,STD,610,1060,50.0
25mm,STD,760,1060,56.0
25mm,STD,910,1060,63.0
25mm,STD,1060,1060,67.0
25mm,STD,1210,1060,70.0
25mm,STD,1360,1060,79.0
25mm,STD,1510,1060,85.0
25mm,STD,1660,1060,88.0
25mm,STD,1810,1060,96.0
25mm,STD,1960,1060,100.0
25mm,STD,2110,1060,105.0
25mm,STD,2260,1060,114.0
25mm,STD,2410,1060,117.0
25mm,STD,2560,1060,120.0
25mm,STD,2710,1060,126.0
25mm,STD,2860,1060,135.0
25mm,STD,3010,1060,138.0
25mm,STD,3160,1060,146.0
25mm,STD,3310,1060,147.0
25mm,STD,3460,1060,151.0
25mm,STD,3610,1060,156.0
25mm,STD,3760,1060,164.0
25mm,STD,4000,1060,172.0
25mm,STD,460,1210,49.0
25mm,STD,610,1210,55.0
25mm,STD,760,1210,62.0
25mm,STD,910,1210,66.0
25mm,STD,1060,1210,70.0
25mm,STD,1210,1210,79.0
25mm,STD,1360,1210,85.0
25mm,STD,1510,1210,88.0
25mm,STD,1660,1210,96.0
25mm,STD,1810,1210,100.0
25mm,STD,1960,1210,107.0
25mm,STD,2110,1210,116.0
25mm,STD,2260,1210,119.0
25mm,STD,2410,1210,123.0
25mm,STD,2560,1210,128.0
25mm,STD,2710,1210,136.0
25mm,STD,2860,1210,146.0
25mm,STD,3010,1210,149.0
25mm,STD,3160,1210,155.0
25mm,STD,3310,1210,161.0
25mm,STD,3460,1210,165.0
25mm,STD,3610,1210,171.0
25mm,STD,3760,1210,181.0
25mm,STD,4000,1210,186.0
25mm,STD,460,1360,50.0
25mm,STD,610,1360,56.0
25mm,STD,760,1360,63.0
25mm,STD,910,1360,69.0
25mm,STD,1060,1360,76.0
25mm,STD,1210,1360,85.0
25mm,STD,1360,1360,88.0
25mm,STD,1510,1360,96.0
25mm,STD,1660,1360,104.0
25mm,STD,1810,1360,107.0
25mm,STD,1960,1360,116.0
25mm,STD,2110,1360,120.0
25mm,STD,2260,1360,126.0
25mm,STD,2410,1360,135.0
25mm,STD,2560,1360,141.0
25mm,STD,2710,1360,147.0
25mm,STD,2860,1360,155.0
25mm,STD,3010,1360,161.0
25mm,STD,3160,1360,165.0
25mm,STD,3310,1360,172.0
25mm,STD,3460,1360,181.0
25mm,STD,3610,1360,185.0
25mm,STD,3760,1360,193.0
25mm,STD,4000,1360,203.0
25mm,STD,460,1510,50.0
25mm,STD,610,1510,62.0
25mm,STD,760,1510,67.0
25mm,STD,910,1510,70.0
25mm,STD,1060,1510,81.0
25mm,STD,1210,1510,86.0
25mm,STD,1360,1510,96.0
25mm,STD,1510,1510,100.0
25mm,STD,1660,1510,107.0
25mm,STD,1810,1510,117.0
25mm,STD,1960,1510,120.0
25mm,STD,2110,1510,128.0
25mm,STD,2260,1510,136.0
25mm,STD,2410,1510,146.0
25mm,STD,2560,1510,149.0
25mm,STD,2710,1510,156.0
25mm,STD,2860,1510,165.0
25mm,STD,3010,1510,171.0
25mm,STD,3160,1510,181.0
25mm,STD,3310,1510,185.0
25mm,STD,3460,1510,193.0
25mm,STD,3610,1510,197.0
25mm,STD,3760,1510,205.0
25mm,STD,4000,1510,217.0
25mm,STD,460,1660,55.0
25mm,STD,610,1660,63.0
25mm,STD,760,1660,69.0
25mm,STD,910,1660,76.0
25mm,STD,1060,1660,85.0
25mm,STD,1210,1660,94.0
25mm,STD,1360,1660,100.0
25mm,STD,1510,1660,107.0
25mm,STD,1660,1660,116.0
25mm,STD,1810,1660,120.0
25mm,STD,1960,1660,128.0
25mm,STD,2110,1660,138.0
25mm,STD,2260,1660,146.0
25mm,STD,2410,1660,151.0
25mm,STD,2560,1660,161.0
25mm,STD,2710,1660,166.0
25mm,STD,2860,1660,172.0
25mm,STD,3010,1660,183.0
25mm,STD,3160,1660,187.0
25mm,STD,3310,1660,197.0
25mm,STD,3460,1660,205.0
25mm,STD,3610,1660,212.0
25mm,STD,3760,1660,220.0
25mm,STD,4000,1660,233.0
25mm,STD,460,1810,56.0
25mm,STD,610,1810,66.0
25mm,STD,760,1810,70.0
25mm,STD,910,1810,81.0
25mm,STD,1060,1810,88.0
25mm,STD,1210,1810,97.0
25mm,STD,1360,1810,105.0
25mm,STD,1510,1810,116.0
25mm,STD,1660,1810,120.0
25mm,STD,1810,1810,128.0
25mm,STD,1960,1810,138.0
25mm,STD,2110,1810,147.0
25mm,STD,2260,1810,155.0
25mm,STD,2410,1810,164.0
25mm,STD,2560,1810,166.0
25mm,STD,2710,1810,179.0
25mm,STD,2860,1810,185.0
25mm,STD,3010,1810,193.0
25mm,STD,3160,1810,202.0
25mm,STD,3310,1810,206.0
25mm,STD,3460,1810,217.0
25mm,STD,3610,1810,225.0
25mm,STD,3760,1810,233.0
25mm,STD,4000,1810,246.0
25mm,STD,460,1960,62.0
25mm,STD,610,1960,67.0
25mm,STD,760,1960,76.0
