system,name,band
50mm,Chalk White Sherwood,STD
50mm,Dark Pine Sherwood,STD
50mm,Dark Walnut Sherwood,STD
50mm,Ecru Sherwood,STD
50mm,Hot Chestnut Sherwood,STD
50mm,Maple Glow Sherwood,STD
50mm,Mellow Pine Sherwood,STD
50mm,Paperbark Maple,STD
50mm,Papyrus Sherwood,STD
50mm,Pure White Sherwood,STD
50mm,Silk White Sherwood,STD
50mm,Sirocco Sherwood,STD
50mm,Steeple Sherwood,STD
50mm,Twine Sherwood,STD
50mm,Valley Oak Sherwood,STD
50mm,Whitewash Sherwood,STD
