group,label,code,band,is_default
Type Of Roller,32mm NG Clutch White (out of spec),Z-RC096,,
Type Of Roller,32mm NG Roller Spring Set,RC863,,
Type Of Roller,32mm NG Roller Spring Set (Out of Spec),Z-RC863,,
Type Of Roller,32mm No Drill Clutches System,RC1009,,
Type Of Roller,40mm Cruze Clutch,RC140,,
Type Of Roller,40mm Cruze Clutch (Out of Spec),Z-CZR009,,
Type Of Roller,40mm Cruze Clutch (out of spec),Z-RC140,,
Type Of Roller,40mm NG Clutch Anthracite,RC724,,
Type Of Roller,40mm NG Clutch Anthracite (Out 0f Spec),Z-RC724,,
Type Of Roller,40mm NG Clutch Black,RC746,,
Type Of Roller,40mm NG Clutch Black (out of spec),Z-RC746,,
Type Of Roller,40mm NG Clutch White,RC723,,
Type Of Roller,40mm NG Clutch White (Out of Spec),Z-RC723,,
Type Of Roller,40mm NG Roller Spring Set,RC864,,
Type Of Roller,40mm NG Spring Roller Set (Out of Spec),Z-RC864,,
Type Of Roller,40mm No Drill Roller Clutch,RC761,,
Type Of Roller,45mm Cruze Clutch,RC141,,
Type Of Roller,Cloth Only,CLOTHON,,
Type Of Roller,Cruze 40mm Clutch - Anthracite,RC784,,
Type Of Roller,Cruze 40mm Clutch - Black,RC783,,
Type Of Roller,Cruze Clutch - 32mm - Anthracite,RC782,,
Type Of Roller,Cruze Clutch - 32mm - Anthracite (Out of Spec),Z-RC782,,
Type Of Roller,Cruze Clutch - 32mm - Black,RC781,,
Type Of Roller,Cruze Clutch - 32mm - Black (Out of Spec),Z-RC781,,
Type Of Roller,Cruze Clutch - 40mm - Anthracite  (out of Spec),Z-RC784,,
Type Of Roller,Cruze Clutch - 40mm - Black (out of Spec),Z-RC783,,
Type Of Roller,MOTOR,ZR055,,
Type Of Roller,None required,NOTYPE,,
Type Of Roller,Side Lock End Sets System 45 -,RC759,,
Type Of Roller,Side Lock End Sets System 45+,RC758,,
Type Of Work,Fabric Only,RF-ONLY,,
Type Of Work,Not Applicable,RNA,,
Type Of Work,Reverse Roll,RNEW-REVERSE,,
Type Of Work,Standard Roll,RNEW,,Y
Wraparound End Caps,Not Applicable,NAECAP,,Y
Wraparound End Caps,Wraparound End Cap - Anthracite,RC629,,
Wraparound End Caps,Wraparound End Cap - White,RC060,,
