system,band,width_mm,drop_mm,price
89mm,A,4100,2500,239.0
89mm,A,4300,2500,248.0
89mm,A,4500,2500,258.0
89mm,A,4700,2500,269.0
89mm,A,5000,2500,284.0
89mm,A,500,2700,57.0
89mm,A,700,2700,69.0
89mm,A,900,2700,78.0
89mm,A,1100,2700,88.0
89mm,A,1300,2700,100.0
89mm,A,1500,2700,111.0
89mm,A,1700,2700,119.0
89mm,A,1900,2700,130.0
89mm,A,2100,2700,143.0
89mm,A,2300,2700,152.0
89mm,A,2500,2700,165.0
89mm,A,2700,2700,177.0
89mm,A,2900,2700,187.0
89mm,A,3100,2700,194.0
89mm,A,3300,2700,205.0
89mm,A,3500,2700,217.0
89mm,A,3700,2700,226.0
89mm,A,3900,2700,239.0
89mm,A,4100,2700,248.0
89mm,A,4300,2700,260.0
89mm,A,4500,2700,269.0
89mm,A,4700,2700,278.0
89mm,A,5000,2700,296.0
89mm,A,500,2900,63.0
89mm,A,700,2900,70.0
89mm,A,900,2900,81.0
89mm,A,1100,2900,91.0
89mm,A,1300,2900,105.0
89mm,A,1500,2900,114.0
89mm,A,1700,2900,123.0
89mm,A,1900,2900,136.0
89mm,A,2100,2900,147.0
89mm,A,2300,2900,157.0
89mm,A,2500,2900,171.0
89mm,A,2700,2900,182.0
89mm,A,2900,2900,193.0
89mm,A,3100,2900,204.0
89mm,A,3300,2900,216.0
89mm,A,3500,2900,226.0
89mm,A,3700,2900,237.0
89mm,A,3900,2900,248.0
89mm,A,4100,2900,260.0
89mm,A,4300,2900,269.0
89mm,A,4500,2900,280.0
89mm,A,4700,2900,293.0
89mm,A,5000,2900,308.0
89mm,A,500,3100,64.0
89mm,A,700,3100,73.0
89mm,A,900,3100,83.0
89mm,A,1100,3100,95.0
89mm,A,1300,3100,108.0
89mm,A,1500,3100,118.0
89mm,A,1700,3100,130.0
89mm,A,1900,3100,143.0
89mm,A,2100,3100,152.0
89mm,A,2300,3100,164.0
89mm,A,2500,3100,178.0
89mm,A,2700,3100,188.0
89mm,A,2900,3100,202.0
89mm,A,3100,3100,211.0
89mm,A,3300,3100,224.0
89mm,A,3500,3100,233.0
89mm,A,3700,3100,245.0
89mm,A,3900,3100,258.0
89mm,A,4100,3100,269.0
89mm,A,4300,3100,280.0
89mm,A,4500,3100,294.0
89mm,A,4700,3100,301.0
89mm,A,5000,3100,321.0
89mm,A,500,3300,64.0
89mm,A,700,3300,73.0
89mm,A,900,3300,84.0
89mm,A,1100,3300,99.0
89mm,A,1300,3300,111.0
89mm,A,1500,3300,122.0
89mm,A,1700,3300,136.0
89mm,A,1900,3300,147.0
89mm,A,2100,3300,157.0
89mm,A,2300,3300,172.0
89mm,A,2500,3300,184.0
89mm,A,2700,3300,194.0
89mm,A,2900,3300,208.0
89mm,A,3100,3300,219.0
89mm,A,3300,3300,230.0
89mm,A,3500,3300,244.0
89mm,A,3700,3300,257.0
89mm,A,3900,3300,267.0
89mm,A,4100,3300,278.0
89mm,A,4300,3300,293.0
89mm,A,4500,3300,301.0
89mm,A,4700,3300,314.0
89mm,A,5000,3300,333.0
89mm,A,500,3500,65.0
89mm,A,700,3500,75.0
89mm,A,900,3500,86.0
89mm,A,1100,3500,104.0
89mm,A,1300,3500,114.0
89mm,A,1500,3500,123.0
89mm,A,1700,3500,141.0
89mm,A,1900,3500,152.0
89mm,A,2100,3500,164.0
89mm,A,2300,3500,177.0
89mm,A,2500,3500,189.0
89mm,A,2700,3500,204.0
89mm,A,2900,3500,216.0
89mm,A,3100,3500,226.0
89mm,A,3300,3500,240.0
89mm,A,3500,3500,252.0
89mm,A,3700,3500,264.0
89mm,A,3900,3500,277.0
89mm,A,4100,3500,293.0
89mm,A,4300,3500,301.0
89mm,A,4500,3500,314.0
89mm,A,4700,3500,326.0
89mm,A,5000,3500,347.0
89mm,A,500,3700,68.0
89mm,A,700,3700,78.0
89mm,A,900,3700,91.0
89mm,A,1100,3700,105.0
89mm,A,1300,3700,116.0
89mm,A,1500,3700,130.0
89mm,A,1700,3700,143.0
89mm,A,1900,3700,156.0
89mm,A,2100,3700,166.0
89mm,A,2300,3700,182.0
89mm,A,2500,3700,194.0
89mm,A,2700,3700,210.0
89mm,A,2900,3700,223.0
89mm,A,3100,3700,237.0
89mm,A,3300,3700,248.0
89mm,A,3500,3700,263.0
89mm,A,3700,3700,274.0
89mm,A,3900,3700,285.0
89mm,A,4100,3700,300.0
89mm,A,4300,3700,313.0
89mm,A,4500,3700,326.0
89mm,A,4700,3700,336.0
89mm,A,5000,3700,360.0
89mm,A,500,4000,69.0
89mm,A,700,4000,81.0
89mm,A,900,4000,95.0
89mm,A,1100,4000,110.0
89mm,A,1300,4000,122.0
89mm,A,1500,4000,136.0
89mm,A,1700,4000,150.0
89mm,A,1900,4000,164.0
89mm,A,2100,4000,179.0
89mm,A,2300,4000,191.0
89mm,A,2500,4000,205.0
89mm,A,2700,4000,219.0
89mm,A,2900,4000,233.0
89mm,A,3100,4000,248.0
89mm,A,3300,4000,260.0
89mm,A,3500,4000,274.0
89mm,A,3700,4000,286.0
89mm,A,3900,4000,301.0
89mm,A,4100,4000,314.0
89mm,A,4300,4000,329.0
89mm,A,4500,4000,344.0
89mm,A,4700,4000,356.0
89mm,A,5000,4000,377.0
89mm,B,500,900,41.0
89mm,B,700,900,51.0
89mm,B,900,900,63.0
89mm,B,1100,900,68.0
89mm,B,1300,900,73.0
89mm,B,1500,900,81.0
89mm,B,1700,900,86.0
89mm,B,1900,900,95.0
89mm,B,2100,900,104.0
89mm,B,2300,900,110.0
89mm,B,2500,900,118.0
89mm,B,2700,900,120.0
89mm,B,2900,900,128.0
89mm,B,3100,900,139.0
89mm,B,3300,900,144.0
89mm,B,3500,900,152.0
89mm,B,3700,900,157.0
89mm,B,3900,900,165.0
89mm,B,4100,900,173.0
89mm,B,4300,900,181.0
89mm,B,4500,900,187.0
89mm,B,4700,900,193.0
89mm,B,5000,900,204.0
89mm,B,500,1100,47.0
89mm,B,700,1100,55.0
89mm,B,900,1100,65.0
89mm,B,1100,1100,70.0
89mm,B,1300,1100,78.0
89mm,B,1500,1100,84.0
89mm,B,1700,1100,91.0
89mm,B,1900,1100,104.0
89mm,B,2100,1100,110.0
89mm,B,2300,1100,116.0
89mm,B,2500,1100,123.0
89mm,B,2700,1100,132.0
89mm,B,2900,1100,143.0
89mm,B,3100,1100,149.0
89mm,B,3300,1100,154.0
89mm,B,3500,1100,160.0
89mm,B,3700,1100,171.0
89mm,B,3900,1100,181.0
89mm,B,4100,1100,187.0
89mm,B,4300,1100,193.0
89mm,B,4500,1100,202.0
89mm,B,4700,1100,208.0
89mm,B,5000,1100,219.0
89mm,B,500,1300,49.0
89mm,B,700,1300,63.0
89mm,B,900,1300,68.0
89mm,B,1100,1300,73.0
89mm,B,1300,1300,83.0
89mm,B,1500,1300,88.0
89mm,B,1700,1300,100.0
89mm,B,1900,1300,108.0
89mm,B,2100,1300,116.0
89mm,B,2300,1300,122.0
89mm,B,2500,1300,134.0
89mm,B,2700,1300,143.0
89mm,B,2900,1300,152.0
89mm,B,3100,1300,157.0
89mm,B,3300,1300,166.0
89mm,B,3500,1300,177.0
89mm,B,3700,1300,184.0
89mm,B,3900,1300,189.0
89mm,B,4100,1300,202.0
89mm,B,4300,1300,208.0
89mm,B,4500,1300,217.0
89mm,B,4700,1300,224.0
89mm,B,5000,1300,237.0
89mm,B,500,1500,51.0
89mm,B,700,1500,64.0
89mm,B,900,1500,69.0
89mm,B,1100,1500,78.0
89mm,B,1300,1500,86.0
89mm,B,1500,1500,99.0
89mm,B,1700,1500,105.0
89mm,B,1900,1500,114.0
89mm,B,2100,1500,122.0
89mm,B,2300,1500,132.0
89mm,B,2500,1500,143.0
89mm,B,2700,1500,152.0
89mm,B,2900,1500,158.0
89mm,B,3100,1500,171.0
89mm,B,3300,1500,178.0
89mm,B,3500,1500,187.0
89mm,B,3700,1500,194.0
89mm,B,3900,1500,205.0
89mm,B,4100,1500,216.0
89mm,B,4300,1500,223.0
89mm,B,4500,1500,230.0
89mm,B,4700,1500,240.0
89mm,B,5000,1500,252.0
89mm,B,500,1700,55.0
89mm,B,700,1700,65.0
89mm,B,900,1700,73.0
89mm,B,1100,1700,83.0
89mm,B,1300,1700,91.0
89mm,B,1500,1700,104.0
89mm,B,1700,1700,111.0
89mm,B,1900,1700,119.0
89mm,B,2100,1700,130.0
