system,group,choice,width_mm,price
Senses,Bottom Bar,Fabric Covered Aluminium,1020,5.18
Senses,Bottom Bar,Fabric Covered Aluminium,1220,6.21
Senses,Bottom Bar,Fabric Covered Aluminium,1420,6.21
Senses,Bottom Bar,Fabric Covered Aluminium,1630,7.25
Senses,Bottom Bar,Fabric Covered Aluminium,1830,7.25
Senses,Bottom Bar,Fabric Covered Aluminium,2030,8.28
Senses,Bottom Bar,Fabric Covered Aluminium,2240,8.28
Senses,Bottom Bar,Fabric Covered Aluminium,2440,9.32
Senses,Bottom Bar,Fabric Covered Aluminium,2640,9.32
Senses,Bottom Bar,Fabric Covered Aluminium,2850,11.39
Senses,Bottom Bar,Fabric Covered Aluminium,3000,11.39
Senses,Bottom Bar,Fabric Covered Aluminium,3150,13.46
Senses,Bottom Bar,Fabric Covered Aluminium,3300,15.53
Senses,Bottom Bar,Fabric Covered Aluminium,3500,17.6
Senses,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,610,2.0
Senses,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,810,4.0
Senses,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,1020,9.0
Senses,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,1220,9.0
Senses,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,1420,10.0
Senses,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,1630,16.0
Senses,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,1830,23.0
Senses,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,2030,24.0
Senses,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,2240,28.0
Senses,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,2440,29.0
Senses,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,2640,31.0
Senses,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,2850,32.0
Senses,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,3000,35.0
Senses,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,610,5.0
Senses,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,810,6.0
Senses,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,1020,16.0
Senses,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,1220,24.0
Senses,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,1420,28.0
Senses,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,1630,32.0
Senses,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,1830,35.0
Senses,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,2030,37.0
Senses,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,2240,41.0
Senses,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,2440,51.0
Senses,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,2640,57.0
Senses,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,2850,60.0
Senses,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,3000,67.0
Grip Fit,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,610,9.0
Grip Fit,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,810,9.0
Grip Fit,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,1020,10.0
Grip Fit,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,1220,16.0
Grip Fit,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,1420,23.0
Grip Fit,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,1630,24.0
Grip Fit,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,1830,28.0
Grip Fit,Shape,Shapes 2/4/Classic/Ritz/Coronet/Provence/Colonial,2000,29.0
Grip Fit,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,610,16.0
Grip Fit,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,810,24.0
Grip Fit,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,1020,28.0
Grip Fit,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,1220,32.0
Grip Fit,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,1420,35.0
Grip Fit,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,1630,37.0
Grip Fit,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,1830,41.0
Grip Fit,Shape,Shapes 5/6/Castille/Parapet/Temple/Colonade/Arch/Apex/Quad,2000,51.0
Grip Fit,Bottom Bar,Decorative Bottom Bar,610,2.0
Grip Fit,Bottom Bar,Decorative Bottom Bar,810,2.0
Grip Fit,Bottom Bar,Decorative Bottom Bar,1020,3.0
Grip Fit,Bottom Bar,Decorative Bottom Bar,1220,4.0
Grip Fit,Bottom Bar,Decorative Bottom Bar,1420,4.0
Grip Fit,Bottom Bar,Decorative Bottom Bar,1630,5.0
Grip Fit,Bottom Bar,Decorative Bottom Bar,1830,5.0
Grip Fit,Bottom Bar,Decorative Bottom Bar,2000,6.0
Grip Fit,Bottom Bar,Wraparound Bottom Bar,610,6.0
Grip Fit,Bottom Bar,Wraparound Bottom Bar,810,8.0
Grip Fit,Bottom Bar,Wraparound Bottom Bar,1020,10.0
Grip Fit,Bottom Bar,Wraparound Bottom Bar,1220,12.0
Grip Fit,Bottom Bar,Wraparound Bottom Bar,1420,14.0
Grip Fit,Bottom Bar,Wraparound Bottom Bar,1630,17.0
Grip Fit,Bottom Bar,Wraparound Bottom Bar,1830,18.0
Grip Fit,Bottom Bar,Wraparound Bottom Bar,2000,20.0
Senses,Fascia,Full Fascia Fabric Wrap,610,3.95
Senses,Fascia,Full Fascia Fabric Wrap,810,4.26
Senses,Fascia,Full Fascia Fabric Wrap,1020,4.57
Senses,Fascia,Full Fascia Fabric Wrap,1220,4.88
Senses,Fascia,Full Fascia Fabric Wrap,1420,5.19
Senses,Fascia,Full Fascia Fabric Wrap,1630,5.5
Senses,Fascia,Full Fascia Fabric Wrap,1830,5.81
Senses,Fascia,Full Fascia Fabric Wrap,2000,6.12
