name,colour,band
Phantom Curtain,Navy,D
Phantom Curtain,Tan,D
Picnic Curtain,Iris,B
Picnic Curtain,Linen,B
Picnic Curtain,Meadow,B
Picnic Curtain,Rouge,B
Picnic Curtain,Sky Blue,B
Pinto Curtain,Charcoal,B
Pinto Curtain,Mustard,B
Pinto Curtain,Navy,B
Pinto Curtain,Olive,B
Pinto Curtain,Rust,B
Pinto Mini Curtain,Multi,B
Prism Curtain,Chrome,C
Quinta Curtain,Lagoon,D
Quinta Curtain,Midnight,D
Quinta Curtain,Natural,D
Rainbow Curtain,Multi,B
Ramona Curtain,Phantom,D
Ramona Curtain,Rose Dust,D
Ramona Curtain,Spice,D
Ramona Curtain,Turquoise,D
Rapture Curtain,Berry,C
Rapture Curtain,Celedon,C
Rapture Curtain,Mist,C
Ripple Curtain,Shadow,D
Rosalee Curtain,Apricot,B
Rosalee Curtain,Merlot,B
Rosalee Curtain,Monochrome,B
Rosalee Curtain,Plum,B
Rosalee Curtain,Seaglass,B
Rosalee Curtain,Wedgwood,B
Roscoe Curtain,Seaglass,B
Roxanne Curtain,Chartreuse,D
Roxanne Curtain,Grey,D
Roxanne Curtain,Natural,D
Safari Friends Curtain,Jungle,A
Sanibel Curtain,Blush,C
Sanibel Curtain,Breeze,C
Sanibel Curtain,Fir,C
Sanibel Curtain,Pumice,C
Sanibel Curtain,Silver,C
Sanibel Curtain,Slate,C
Sanibel Curtain,Smoke,C
Skyler Curtain,Breeze,C
Skyler Curtain,Magenta,C
Skyler Curtain,Plum,C
Skyler Curtain,Shadow,C
Sleepy Sky Curtain,Pastel,B
Speck Curtain,Peacock,C
Speck Curtain,Sienna,C
Speck Curtain,White,C
Sprigs Curtain,Lilac,B
Tampa Curtain,Aqua,B
Tampa Curtain,Golden,B
Tampa Curtain,Jet,B
Tampa Curtain,Natural,B
Tampa Curtain,Purple,B
Toba Curtain,Cloud,C
Toba Curtain,Meadow,C
Toba Curtain,Rose,C
Toba Curtain,Rust,C
Torazza Curtain,Dark Teal,C
Tree of Life Curtain,Teal,C
Twisted Curtain,Breeze,D
Twisted Curtain,Taupe,D
Vegas Curtain,Natural,C
Vegas Curtain,Shadow,C
Verona Curtain,Duck Egg,B
Verona Curtain,Harvest,B
Verona Curtain,Ivory,B
Verona Curtain,Mink,B
Zest Curtain,Brick,A
Zest Curtain,Cornflower,A
Zest Curtain,Elm,A
Zest Curtain,Grape,A
Zest Curtain,Hot Pink,A
Zest Curtain,Marshmallow,A
Zest Curtain,Mustard,A
Zest Curtain,Silver,A
