system,band,width_mm,drop_mm,price
Standard,C,2500,910,182.0
Standard,C,610,1220,126.0
Standard,C,810,1220,139.0
Standard,C,1020,1220,145.0
Standard,C,1220,1220,151.0
Standard,C,1420,1220,155.0
Standard,C,1630,1220,164.0
Standard,C,1830,1220,172.0
Standard,C,1990,1220,177.0
Standard,C,2250,1220,186.0
Standard,C,2500,1220,195.0
Standard,C,610,1520,141.0
Standard,C,810,1520,145.0
Standard,C,1020,1520,151.0
Standard,C,1220,1520,157.0
Standard,C,1420,1520,164.0
Standard,C,1630,1520,172.0
Standard,C,1830,1520,178.0
Standard,C,1990,1520,185.0
Standard,C,2250,1520,194.0
Standard,C,2500,1520,205.0
Standard,C,610,1830,150.0
Standard,C,810,1830,154.0
Standard,C,1020,1830,164.0
Standard,C,1220,1830,171.0
Standard,C,1420,1830,177.0
Standard,C,1630,1830,185.0
Standard,C,1830,1830,193.0
Standard,C,1990,1830,200.0
Standard,C,2250,1830,208.0
Standard,C,2500,1830,215.0
Standard,C,610,2130,155.0
Standard,C,810,2130,164.0
Standard,C,1020,2130,172.0
Standard,C,1220,2130,178.0
Standard,C,1420,2130,185.0
Standard,C,1630,2130,193.0
Standard,C,1830,2130,202.0
Standard,C,1990,2130,207.0
Standard,C,2250,2130,215.0
Standard,C,2500,2130,221.0
Standard,C,610,2530,166.0
Standard,C,810,2530,176.0
Standard,C,1020,2530,182.0
Standard,C,1220,2530,190.0
Standard,C,1420,2530,195.0
Standard,C,1630,2530,205.0
Standard,C,1830,2530,211.0
Standard,C,1990,2530,216.0
Standard,C,2250,2530,225.0
Standard,C,2500,2530,237.0
Standard,C,610,2700,176.0
Standard,C,810,2700,182.0
Standard,C,1020,2700,190.0
Standard,C,1220,2700,200.0
Standard,C,1420,2700,205.0
Standard,C,1630,2700,211.0
Standard,C,1830,2700,217.0
Standard,C,1990,2700,223.0
Standard,C,2250,2700,232.0
Standard,C,2500,2700,245.0
