system,name,colour,band
127mm,Ex-Lite BO,Slate,B
127mm,Ex-Lite BO,Snow,B
127mm,Ex-Lite BO,White,B
127mm,Florence,Green,A
127mm,Florence,Peach,A
127mm,Florence,Stone,A
127mm,Florence,White,A
127mm,Guardian,Chalk,A
127mm,Guardian,Charcoal,A
127mm,Guardian,Flint,A
127mm,Guardian,Jet Black,A
127mm,Guardian,Parchment,A
127mm,Guardian,Royal Blue,A
127mm,Guardian,Silver,A
127mm,Guardian,White,A
127mm,Hampton,Beach Cove,D
127mm,Hampton,Boat House,D
127mm,Hampton,Picket Fence,D
127mm,Hampton,Sea Breeze,D
127mm,Hampton,Silver Sand,D
127mm,Linenweave,Charcoal,B
127mm,Linenweave,Graphite,B
127mm,Linenweave,Hessian,B
127mm,Linenweave,Iron,B
127mm,Linenweave,Moonstone,B
127mm,Linenweave,Sand,B
127mm,Mineral,Antique Gold,?
127mm,Mineral,Copper,?
127mm,Mineral,Pale Gold,?
127mm,Mineral,Pearl,?
127mm,Mineral,Pewter,?
127mm,Mineral,Rose Gold,?
127mm,Mineral,Silver,?
127mm,Mineral,Verdigris,?
127mm,Monroe,Ice,?
127mm,Monroe,Mineral,?
127mm,Monroe,Onyx,?
127mm,Monroe,Opal,?
127mm,Monterey,Marble,B
127mm,Monterey,Sand,B
127mm,Monterey,Shale,B
127mm,Murray White,White,?
127mm,Oslo,Birch,B
127mm,Oslo,Graphite,B
127mm,Oslo,Jasper,B
127mm,Oslo,Maple,B
127mm,Oslo,Silver,B
127mm,Palette,Anthracite,A
127mm,Palette,Baby Lavender,A
127mm,Palette,Biscotti,A
127mm,Palette,Black,A
127mm,Palette,Bright White,A
127mm,Palette,Calico,A
127mm,Palette,Charcoal,A
127mm,Palette,Concrete,A
127mm,Palette,Copper,A
127mm,Palette,Cream,A
127mm,Palette,Denim,A
127mm,Palette,Desert Sage,A
127mm,Palette,Dijon,A
127mm,Palette,Glacier Blue,A
127mm,Palette,Green,A
127mm,Palette,Grey,A
127mm,Palette,Iris,A
127mm,Palette,Iron,A
127mm,Palette,Linen,A
127mm,Palette,Marina,A
127mm,Palette,Navy,A
127mm,Palette,Pale Grey,A
127mm,Palette,Pearl,A
127mm,Palette,Redcurrant,A
127mm,Palette,Sand,A
127mm,Palette,Sky,A
127mm,Palette,Smokey Blue,A
127mm,Palette,Spring,A
127mm,Palette,Stone Grey,A
127mm,Palette,Taupe,A
127mm,Palette,Teal,A
127mm,Palette,Ultimate Grey,A
127mm,Palette,Vanilla,A
127mm,Palette,White,A
127mm,Perspective 1%,Beige,B
127mm,Perspective 1%,Black,B
127mm,Perspective 1%,Grey,B
127mm,Perspective 1%,White,B
127mm,Perspective 3%,Beige,B
127mm,Perspective 3%,Black,B
127mm,Perspective 3%,Grey,B
127mm,Perspective 3%,White,B
127mm,Perspective 3% WB,Beige,B
127mm,Perspective 3% WB,Black,B
127mm,Perspective 3% WB,Grey,B
127mm,Perspective 3% WB,White,B
127mm,Perspective 5%,Beige,B
127mm,Perspective 5%,Black,B
127mm,Perspective 5%,Grey,B
127mm,Perspective 5%,White,B
127mm,Perspective Aluview,Beige,D
127mm,Perspective Aluview,Black,D
127mm,Perspective Aluview,Grey,D
127mm,Perspective Aluview,White,D
127mm,Perspective BO,Beige,C
127mm,Perspective BO,Black,C
127mm,Perspective BO,Grey,C
127mm,Perspective BO,White,C
127mm,Perspective Pureview,White,C
127mm,Ritz,Birch,A
127mm,Ritz,Cotton,A
127mm,Ritz,Jasmin,A
127mm,Romany BO,Cream,E
127mm,Romany BO,Light Grey,E
127mm,Romany BO,Putty,E
127mm,Romany BO,White,E
127mm,Shantung,Leaf,A
127mm,Shantung,Silver,A
127mm,Shantung,White,A
127mm,Topaz,Graphite,A
127mm,Topaz,Pearl,A
127mm,Topaz,Quartz,A
127mm,Topaz,Silver,A
127mm,Vermont,Cotton,A
127mm,Vermont,Feather,A
127mm,Vermont,Hemp,A
127mm,Vermont,Linen,A
127mm,Vermont,Mist,A
127mm,Vermont,Slate,A
127mm,Voile,Cream,A
127mm,Voile,Moondust,A
127mm,Voile,Sandshell,A
127mm,Voile,White,A
